name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt
T1bId7	88	126	138	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-parstriangularis
T1bId8	86	126	139	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-parstriangularis
T1bId9	84	127	139	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_inf	ctx-rh-parstriangularis
T1bId10	82	126	140	n/a	platinum-iridium	R	depth	ctx-rh-parstriangularis	ctx_rh_S_front_inf	ctx-rh-parstriangularis
T1bId11	80	127	141	n/a	platinum-iridium	R	depth	ctx-rh-parsopercularis	ctx_rh_G_front_inf-Opercular	ctx-rh-parsopercularis
T1bId12	78	128	141	n/a	platinum-iridium	R	depth	ctx-rh-parsopercularis	ctx_rh_G_front_inf-Opercular	ctx-rh-parsopercularis
T1bId13	76	128	142	n/a	platinum-iridium	R	depth	ctx-rh-parsopercularis	ctx_rh_G_front_inf-Opercular	ctx-rh-parsopercularis
T1bId14	74	129	142	n/a	platinum-iridium	R	depth	ctx-rh-parsopercularis	ctx_rh_G_front_inf-Opercular	ctx-rh-parsopercularis
T1bId15	72	129	143	n/a	platinum-iridium	R	depth	ctx-rh-parsopercularis	ctx_rh_G_front_inf-Opercular	ctx-rh-parsopercularis
T1bId16	69	129	144	n/a	platinum-iridium	R	depth	ctx-rh-parsopercularis	ctx_rh_G_front_inf-Opercular	ctx-rh-precentral
T2bHb1	109	142	142	n/a	platinum-iridium	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus
T2bHb2	107	143	144	n/a	platinum-iridium	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus
T2bHb3	103	143	145	n/a	platinum-iridium	n/a	depth	Right-Hippocampus	Right-Hippocampus	Right-Hippocampus
T2bHb4	100	144	146	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_G_oc-temp_med-Parahip	ctx-rh-parahippocampal
T2bHb5	98	144	147	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_G_oc-temp_med-Parahip	ctx-rh-parahippocampal
T2bHb6	92	148	149	n/a	platinum-iridium	R	depth	ctx-rh-fusiform	ctx_rh_Pole_temporal	ctx-rh-inferiortemporal
T2bHb7	88	142	149	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_S_circular_insula_inf	ctx-rh-insula
T2bHb8	87	143	149	n/a	platinum-iridium	R	depth	ctx-rh-insula	ctx_rh_S_circular_insula_inf	ctx-rh-insula
T2bHb9	83	143	150	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_S_circular_insula_inf	ctx-rh-superiortemporal
T2bHb10	79	144	152	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_S_circular_insula_inf	ctx-rh-superiortemporal
T2bHb11	77	145	152	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_S_circular_insula_inf	ctx-rh-superiortemporal
T2bHb12	73	145	153	n/a	platinum-iridium	R	depth	ctx-rh-superiortemporal	ctx_rh_G_temp_sup-Lateral	ctx-rh-superiortemporal
F2aIb1	100	105	123	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2aIb2	99	105	125	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2aIb3	96	104	127	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2aIb4	93	103	129	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2aIb5	91	104	131	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2aIb6	87	101	133	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_sup	ctx-rh-caudalmiddlefrontal
F2aIb7	84	100	134	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_sup	ctx-rh-caudalmiddlefrontal
F2aIb8	81	99	136	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_front_sup	ctx-rh-caudalmiddlefrontal
F2aIb9	78	98	138	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
F2aIb10	75	97	140	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_G_front_middle	ctx-rh-caudalmiddlefrontal
F2bIc1	99	114	134	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2bIc2	99	111	134	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2bIc3	97	108	136	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2bIc4	95	107	136	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2bIc5	93	105	136	n/a	platinum-iridium	R	depth	ctx-rh-rostralmiddlefrontal	ctx_rh_S_front_middle	ctx-rh-rostralmiddlefrontal
F2bIc6	91	101	142	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-sup-part	ctx-rh-caudalmiddlefrontal
F2bIc7	90	100	142	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-sup-part	ctx-rh-caudalmiddlefrontal
F2bIc8	88	96	143	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-sup-part	ctx-rh-caudalmiddlefrontal
F2bIc9	87	93	143	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-sup-part	ctx-rh-caudalmiddlefrontal
F2bIc10	85	90	144	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-sup-part	ctx-rh-caudalmiddlefrontal
F2bIc11	84	88	145	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-sup-part	ctx-rh-caudalmiddlefrontal
F2bIc12	82	85	146	n/a	platinum-iridium	R	depth	ctx-rh-caudalmiddlefrontal	ctx_rh_S_precentral-sup-part	ctx-rh-caudalmiddlefrontal
P1Cc1	130	121	165	n/a	platinum-iridium	R	depth	ctx-rh-isthmuscingulate	ctx_rh_G_cingul-Post-dorsal	ctx-rh-isthmuscingulate
P1Cc2	127	119	166	n/a	platinum-iridium	R	depth	ctx-rh-isthmuscingulate	ctx_rh_G_cingul-Post-dorsal	ctx-rh-isthmuscingulate
P1Cc3	124	116	166	n/a	platinum-iridium	R	depth	ctx-rh-isthmuscingulate	ctx_rh_S_subparietal	ctx-rh-isthmuscingulate
P1Cc4	121	115	166	n/a	platinum-iridium	R	depth	ctx-rh-isthmuscingulate	ctx_rh_S_subparietal	ctx-rh-isthmuscingulate
P1Cc5	118	113	167	n/a	platinum-iridium	R	depth	ctx-rh-precuneus	ctx_rh_S_subparietal	ctx-rh-isthmuscingulate
P1Cc6	115	109	167	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_S_cingul-Marginalis	ctx-rh-posteriorcingulate
P1Cc7	113	108	168	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_S_cingul-Marginalis	ctx-rh-paracentral
P1Cc8	107	107	169	n/a	platinum-iridium	R	depth	ctx-rh-postcentral	ctx_rh_S_central	ctx-rh-postcentral
P1Cc9	107	106	168	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-postcentral
P1Cc10	104	104	169	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-precentral
P1Cc11	101	102	169	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-precentral
P1Cc12	98	100	170	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-precentral
P1Cc13	94	97	169	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-precentral
P1Cc14	92	96	170	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-precentral
P1Cc15	89	94	171	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-precentral
P1Cc16	86	91	171	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_central	ctx-rh-precentral
F2c1	105	93	154	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_precentral-sup-part	ctx-rh-superiorfrontal
F2c2	105	92	155	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_precentral-sup-part	ctx-rh-superiorfrontal
F2c3	103	90	158	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_precentral-sup-part	ctx-rh-precentral
F2c4	101	88	160	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_precentral-sup-part	ctx-rh-precentral
F2c5	98	86	163	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_S_precentral-sup-part	ctx-rh-precentral
F2c6	97	83	165	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_precentral	ctx-rh-precentral
F1aCa1	124	99	144	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-posteriorcingulate
F1aCa2	122	97	147	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-posteriorcingulate
F1aCa3	120	95	149	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-posteriorcingulate
F1aCa4	119	93	152	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-posteriorcingulate
F1aCa5	117	91	154	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-paracentral
F1aCa6	116	90	157	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-paracentral
F1aCa7	115	89	159	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-paracentral
F1aCa8	113	85	163	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
F1aCa9	111	84	165	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_precentral	ctx-rh-precentral
F1aCa10	110	82	167	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_precentral	ctx-rh-precentral
F1aCa11	108	80	170	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_precentral	ctx-rh-precentral
F1aCa12	107	78	173	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_precentral	ctx-rh-precentral
F1bCb1	124	112	153	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_S_pericallosal	ctx-rh-posteriorcingulate
F1bCb2	124	109	155	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_cingul-Post-dorsal	ctx-rh-posteriorcingulate
F1bCb3	124	107	158	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_cingul-Post-dorsal	ctx-rh-posteriorcingulate
F1bCb4	123	104	160	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_cingul-Post-dorsal	ctx-rh-posteriorcingulate
F1bCb5	123	101	162	n/a	platinum-iridium	R	depth	ctx-rh-posteriorcingulate	ctx_rh_S_cingul-Marginalis	ctx-rh-posteriorcingulate
F1bCb6	123	99	164	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_S_cingul-Marginalis	ctx-rh-paracentral
F1bCb7	123	96	166	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_paracentral	ctx-rh-paracentral
F1bCb8	123	93	169	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_paracentral	ctx-rh-paracentral
F1bCb9	122	90	171	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_paracentral	ctx-rh-paracentral
F1bCb10	122	89	173	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_paracentral	ctx-rh-paracentral
F1bCb11	123	86	176	n/a	platinum-iridium	R	depth	ctx-rh-paracentral	ctx_rh_G_and_S_paracentral	ctx-rh-paracentral
F1bCb12	120	83	179	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_precentral	ctx-rh-precentral
F1bCb13	121	80	180	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_and_S_paracentral	ctx-rh-precentral
F1bCb14	120	77	182	n/a	platinum-iridium	R	depth	ctx-rh-precentral	ctx_rh_G_precentral	ctx-rh-precentral
DC10	n/a	n/a	n/a	n/a	platinum-iridium	n/a	depth	n/a	n/a	n/a
DC4	n/a	n/a	n/a	n/a	platinum-iridium	n/a	depth	n/a	n/a	n/a
